Name,Count
Test,8415
Random,1415
Aqua,1104
LinearAlgebra,984
Statistics,513
Documenter,504
DataFrames,465
Pkg,446
StaticArrays,394
SafeTestsets,389
Distributions,340
SparseArrays,318
ForwardDiff,307
StableRNGs,305
Plots,301
BenchmarkTools,289
Dates,275
CSV,244
Logging,239
TestItemRunner,223
JET,219
StatsBase,218
InteractiveUtils,206
Zygote,200
Unitful,197
DelimitedFiles,181
Printf,179
OffsetArrays,142
CUDA,138
Suppressor,125
SpecialFunctions,119
Distributed,116
Downloads,110
CairoMakie,110
OrdinaryDiffEq,109
JuMP,107
JSON,101
JuliaFormatter,101
Tables,97
FiniteDifferences,94
JLD2,89
Ipopt,88
Graphs,87
TestItems,85
FileIO,81
ChainRulesTestUtils,81
HiGHS,79
ReferenceTests,76
FFTW,75
Flux,71
ChainRulesCore,71
CategoricalArrays,70
JSON3,70
Markdown,68
FiniteDiff,68
Combinatorics,68
Revise,67
MLJBase,67
HTTP,65
DataStructures,65
Optim,63
ReverseDiff,61
Colors,61
TOML,60
TestImages,58
Serialization,57
ImageIO,56
ImageMagick,56
StructArrays,55
CompatHelperLocal,54
TestSetExtensions,52
Enzyme,51
Distances,51
Adapt,51
QuadGK,51
ExplicitImports,49
OrderedCollections,49
Makie,48
RDatasets,47
FillArrays,47
Coverage,47
GLPK,47
RecipesBase,46
PythonCall,45
MathOptInterface,44
Symbolics,43
UUIDs,43
ComponentArrays,42
PyCall,42
IntervalSets,41
CodecZlib,41
MPI,41
REPL,40
ColorTypes,40
KernelAbstractions,40
Parameters,40
LaTeXStrings,40
Sockets,39
Accessors,38
ReTestItems,38
Measurements,38
UnicodePlots,38
HDF5,38
Interpolations,37
HypothesisTests,37
Meshes,36
GeometryBasics,36
DifferentialEquations,34
GLM,34
SHA,34
POMDPModels,34
AbstractTrees,33
MacroTools,33
DoubleFloats,33
GLMakie,33
Rotations,33
LazyArtifacts,33
Optimisers,32
YAML,32
SCS,31
TimerOutputs,31
PrettyTables,31
NBInclude,30
TypedTables,29
FixedPointNumbers,29
Compat,29
Base64,29
ProgressMeter,29
TimeZones,29
Optimization,28
ModelingToolkit,28
MLJ,27
PDMats,27
RecursiveArrayTools,26
DifferentiationInterface,26
LogExpFunctions,25
MAT,25
Functors,25
Images,25
Polynomials,25
ADTypes,25
NLsolve,25
NCDatasets,25
DimensionalData,24
Literate,24
ColorSchemes,24
StatsModels,24
Tracker,24
ZipFile,24
OptimizationOptimJL,24
ArchGDAL,24
ImageCore,23
DynamicPolynomials,23
ReTest,23
CondaPkg,23
InverseFunctions,22
IOCapture,22
TestFunctionRunner,22
MCMCChains,22
DocStringExtensions,21
MLJTestInterface,21
PlutoUI,21
Dictionaries,21
IterativeSolvers,21
SQLite,21
ADNLPModels,21
LinearSolve,20
Lux,20
AxisArrays,20
FastGaussQuadrature,20
RCall,20
JLArrays,20
DecisionTree,19
StatsFuns,19
NonlinearSolve,19
Glob,19
Cbc,19
IterTools,19
Juniper,19
BandedMatrices,19
StatisticalMeasures,19
Reexport,19
Libdl,19
Conda,19
MLJDecisionTreeInterface,19
Preferences,18
PyPlot,18
MLDatasets,18
LoopVectorization,18
NLPModelsTest,18
BlockArrays,18
Turing,18
Pluto,18
